,user,team,timestamp,likes,replies,retweets,text,polarity,positive,negative
57,Blcineo,@TBLightning,2018-05-08 23:30:25,0,0,0,Bolts in 6  @TBLightning,0.0,0,0
58,PcCanes,@TBLightning,2018-05-08 23:29:43,1,0,0,pic.twitter.com/b0MRuzN14a,0.0,0,0
59,slapout_alabama,@TBLightning,2018-05-08 23:28:06,1,0,0,"Sorry man, thats the luv hate bout playoffs..but if ya gotta be the thunder, be all you can be at the beach..",-0.65,0,1
60,FinnishTheCzech,@TBLightning,2018-06-06 23:55:59,1,0,0,@TBLightning Do we have dates for development camp yet?,0.0,0,0
61,KathleenDow54,@TBLightning,2018-06-06 23:50:05,0,0,0,VASY has the best mask!!!! VASY VEZINA!!!!!,1.0,1,0
62,Pond_Sweaters,@TBLightning,2018-06-06 23:48:59,0,0,0,Get this Dominik Masin 2017 Syracuse Crunch Calder Cup Finals game worn jerseymfor $350 #SyracuseCrunch http://www.ebay.com/itm/-/123148570825?roken=cUgayN&soutkn=p6xJft … via @eBay @SyracuseCrunch @TBLightning,-0.4,0,1
63,KTUUSports,@TBLightning,2018-06-06 23:43:05,2,0,2,UAA Annouces new Atheltic Director Greg Myford. Past jobs include time with the @TBLightning and @DetroitPistons. Most recently he worked for @IMGCollege. @UAASeawolves say he’ll begin July 31st,0.09659090909090909,1,0
64,ifstonefan,@TBLightning,2018-06-06 23:39:28,1,0,0,"Still remember it like it was yesterday, we’ve moved seats since then (our section was removed to make way for the organ). Remember @AndreRoy36 skating around like it was a Saturday night at the roller rink.",0.0,0,0
65,IceDiery_19,@TBLightning,2018-06-06 23:38:22,3,0,1,"When you have to turn to the NHL app for a temporary @TBLightning past game recap fix, because I won’t be a full functioning human being again UNTIL I see my boys play again in October. #IsItOctoberYet?!?!?  #GoBolts ",-0.07500000000000001,0,1
66,CrazyOldFan,@TBLightning,2018-06-06 23:12:34,1,1,0,Forgot which time of day you worked @ 620.....remember them broadcasting live the next morning from arena and some players were just leaving the party at 7 or 8 am??? Classic!!,0.132260101010101,1,0
67,JakeSundall,@TBLightning,2018-06-06 23:09:57,0,1,0,At least there's only 4 months away from next year and not 6 like last year.  #IsItOctoberYet?,-0.075,0,1
68,IceDiery_19,@TBLightning,2018-06-06 23:07:50,1,0,0,VASY for the win!!! @TBLightning  https://twitter.com/nhl/status/1004499461014507520 …,1.0,1,0
69,IceDiery_19,@TBLightning,2018-06-06 23:06:47,2,0,0,VASY for the win!!! @TBLightning ,1.0,1,0
70,953WDAE,@TBLightning,2018-06-06 23:00:00,0,0,1,"NOW!! @TBLightning Hockey Night Is LIVE On @620wdae & @BoltsRadio

LISTEN: 620AM | 95.3FM | http://620wdae.com/listen  On The @iHeartRadio App!pic.twitter.com/P5ase9Zzuf",0.13636363636363635,1,0
71,953WDAE,@TBLightning,2018-06-06 22:45:00,0,0,0,"Don't Miss @TBLightning Hockey Night Tonight At 7pm On @620wdae & @BoltsRadio

LISTEN: 620AM | 95.3FM | http://620wdae.com/listen  On The @iHeartRadio App!!!!pic.twitter.com/Pfqe2kzR7A",0.0,0,0
72,GoalieHistory,@TBLightning,2018-06-06 22:30:00,0,0,1,2015: Andrei Vasilevski makes five saves as @TBLightning defeat @NHLBlackhawks 4-3 in Game Two of Stanley Cup Finals.  First goaltender to win Finals game in relief since Lester Patrick in 1928.  http://hockeygoalies.org/bio/vasilevski.html …pic.twitter.com/Gf91leHLs3,0.0625,1,0
73,mattestevesSBN,@TBLightning,2018-06-06 22:17:08,2,1,0,"The puffed out lip had me dying, bahahahahaha",0.0,0,0
74,movinwater82,@TBLightning,2018-06-06 22:14:50,1,0,1,I will feel better about @TBLightning not being in #SCF if the #ALLCAPS win.  Taking them to game 7 after being down 2-0...and them winning the cup somehow makes it feel better.  #GoBolts,0.29074074074074074,1,0
75,MatthewMattman9,@TBLightning,2018-06-06 21:29:23,0,0,0,Totally me!,0.0,0,0
76,Jarebear81787,@TBLightning,2018-06-06 21:26:18,1,0,0,Same,0.0,0,0
77,rescuedrestored,@TBLightning,2018-06-06 21:10:08,0,0,0,I’m just not brushed up on all that anymore lol,0.4,1,0
78,RetrofitMag,@TBLightning,2018-06-06 21:00:58,1,0,0,#InteractiveContent: View a video of @Userful #VideoWalls at @TBLightning Amalie Arena: http://bit.ly/2ilyW04  #TurnYourSoundOn #NHL,0.0,0,0
79,haddysworld,@TBLightning,2018-06-06 20:43:06,0,0,0,pic.twitter.com/2ZqaDjSfTj,0.0,0,0
80,TheDuncanDuo,@TBLightning,2018-06-06 20:31:08,0,0,0,"#GoBolts Check out http://www.BoltsHomeVideos.com  & enter free drawing for @TBLightning player signed stick #officialrealestateagents #bethethunder - follow our other socials for more Lightning giveaways, contests and more!  #tblightning",0.35,1,0
81,FloridaKristin,@TBLightning,2018-06-06 20:20:51,0,0,0,"Great, I was there !! Man , 14 years?!?!",1.0,1,0
82,953WDAE,@TBLightning,2018-06-06 20:20:00,0,0,0,"Don't Miss @TBLightning Hockey Night Tonight At 7pm On @620wdae & @BoltsRadio

LISTEN: 620AM | 95.3FM | http://620wdae.com/listen  On The @iHeartRadio App!!!pic.twitter.com/NJPpFs749J",0.0,0,0
83,parothed13730,@TBLightning,2018-06-06 19:48:15,0,0,0,I'm a retired Navy vet. They could skip all the patriotic stuff at the beginning of sporting events and it would be all right with me. What is the point?,0.2857142857142857,1,0
84,bidensbriefing,@TBLightning,2018-06-06 19:43:14,1,1,0,"Veterans, troops thrilled to be honored by Lightning at every game. Even the extra ones. https://www.bidensbriefing.com/listen/2018/6/4/briefing-222 … @tampabaytimes @TBLightning #BidensBriefingpic.twitter.com/IVEk5KFdc1",0.06666666666666665,1,0
85,tblgucks,@TBLightning,2018-06-06 19:43:01,0,1,0,this is a sustr fan acc don't you forget it,0.0,0,0
86,HuntKunitzNow,@TBLightning,2018-06-06 19:42:29,1,1,0,"5’8 can easily punch a 6’2.... oh ohhhh.... 6’2???

62????

Shuuuuuuuu",0.43333333333333335,1,0
87,tblgucks,@TBLightning,2018-06-06 19:40:01,1,1,0,6'2 ,0.0,0,0
88,HuntKunitzNow,@TBLightning,2018-06-06 19:38:27,0,2,0,Pffft betcha a 6 foot wannabe ,0.0,0,0
89,HuntKunitzNow,@TBLightning,2018-06-06 19:37:51,0,0,0,Thankssssss!pic.twitter.com/tExc88gAA8,0.0,0,0
90,tblgucks,@TBLightning,2018-06-06 19:36:22,0,1,0,too tall k8ee,0.0,0,0
91,HuntKunitzNow,@TBLightning,2018-06-06 19:30:52,0,1,0,"Yeah? How tall are you, midget?",0.0,0,0
92,tblgucks,@TBLightning,2018-06-06 19:29:56,0,1,0,ur not tall enough for that fam,0.0,0,0
93,BDrake52184,@TBLightning,2018-06-06 19:26:33,0,0,0,pic.twitter.com/9VgoiFKTZi,0.0,0,0
94,HuntKunitzNow,@TBLightning,2018-06-06 19:24:00,0,1,0,Good. It’s supposed to be funny lol,0.5833333333333334,1,0
95,TheDuncanDuo,@TBLightning,2018-06-06 19:21:04,1,0,0,"We are at OVER 1 MILLION views on our Youtube channel - go check it out and see #tampa #tampabay #stpete #clearwater #realestate property videso, one of our #TV commercials, a @TBLightning feature or a customer #testimonial",0.0,0,0
96,HuntKunitzNow,@TBLightning,2018-06-06 19:14:44,1,1,0,Imma punch you in your throat fam,0.0,0,0
97,tblgucks,@TBLightning,2018-06-06 19:14:15,0,1,0,should have had a kunitz jersey in the background tbh,0.0,0,0
98,HuntKunitzNow,@TBLightning,2018-06-06 19:12:02,2,1,0,I am lmao,0.6,1,0
